text,label_class,label
请问胎儿发育异常是什么原因？,病因,1
痔疮也要做电子视频肠镜吗？,化验/体检方案,11
膝盖往下不痛就是无力，不敢吃劲之前走道还挺利索是咋回事,临床表现(病症表现),3
我的爸爸最近几个月出现了咳嗽、咳痰，上下楼梯的时候总是气喘嘘嘘的，偶尔还会伴有喘息，平时爸爸非常喜欢吸烟，一天可以好几包，带他去医院检查他又不肯，我很怕他的肺出现什么毛病，这中情况有可能是什么疾病？,病因,1
吃百合固金丸后身体发抖，呼吸不畅,病因,1
癫痫的发作很忽然，是以对患者的伤害是巨大的。癫痫患者每次发作都会给他们的脑神经造成难以修复的伤害、巨大的影响了他们的健康。,定义,0
我想请问一下，一个月前女子给我打飞机会引起尿路感染吗?,其他,12
孩子胸口上长了一个很大水泡的不知道是瘤，特别大，比黄豆还大，往外凸起，黑色的，是血管瘤吗，从小都有，跟着长。内蒙古婴儿胸口一个很小的红色水泡是血管瘤吗?,临床表现(病症表现),3
剖腹产后74天了，一直没来月经，最近分泌物增多，类似排卵期的透明能拉丝的，伴随有异味怎么回事，是母乳奶粉混合喂养的。,临床表现(病症表现),3
最近一直头晕眼花，站不稳，请问有什么药可以改善？,治疗方法,5
听人家说玉龙油的效果挺不错的，请问可以在哪里买到？,其他,12
小便有异味！很难闻！,其他,12
有慢支肺气肿的患者，服用强力健身胶囊会不会有副作用？可以吃多久？,其他,12
我的妈现在怀孕3个多月，晚上老是失眠的，担心会影响到胎宝宝，怎么办？,治疗方法,5
心肌梗死后心包炎是什么病,定义,0
哪些情况会引起尿路狭窄？,病因,1
我想知道施维雅（万爽力）盐酸曲美他嗪用多久才会有效果出来的呢？,其他,12
心包压塞是怎么回事？,定义,0
刚出生的孩子惊厥属于癫痫吗？孩子刚出生两天，惊厥了，这可怎么办啊，听说有不良后果，是癫痫吗？,病因,1
颅内转移瘤易发人群有哪些,其他,12
最近两天老是食欲不振，而且每天都犯困，全身无力，吃饭也没有胃口，感觉身体也变得很差了，听人说可能是急性心包炎，但不确定，请问急性心包炎的特征是什么？,临床表现(病症表现),3
30岁。经常嘴干舌头涩有时恶心,临床表现(病症表现),3
阜阳治疗癫痫病哪家好？？我今年23岁了我是女的，有癫痫病2年了，中间就是吃些药物治疗着，只是能控制病情，一不吃药病就会犯，也就是说我的病没有得到缓解，该犯时还是要犯，不知道临床上有什么好方法吗？临床上有治疗癫痫的好方法吗？,其他,12
宝宝大便又硬又黑,临床表现(病症表现),3
前列腺结石，如何治疗,治疗方法,5
这两个哪个的药性要比较好一点，有什么药物可以替代的呢？,其他,12
我大便后有黏膜从肛门脱出，刚开始会自己回去，渐渐的就不能自己回去了，需要用手向上拖才能复位，常常有粘液从肛门流出来，排便有下坠感和排便不尽感，排便次数增多，到医院就诊，诊断为早起直肠脱落。请问早起直肠脱落好治疗吗？,治愈率,8
我最近尿频，尿急，尿痛，排尿困难是不是前列腺疾病？,定义,0
我这几天突然出现了水肿、乏力等症状，有时候还比较严重，在医院检查之后说我是舒张性心力衰竭，请问舒张性心力衰竭是什么意思？,定义,0
你好，治疗抑郁症，请问，盐酸帕罗西汀片的生产厂家有哪些呢？,其他,12
"最近体检发现我孩子脚掌长有血管瘤有8*5.3.3大小，我孩子需要手术吗？做那种比较好？,内蒙古婴儿在脚掌有血管瘤咋治好啊？",临床表现(病症表现),3
八个多月大宝宝大便时伴便血怎么办?要去医院就医吗?,其他,12
没有不洁性生活为何会有尖锐湿疣？现在外阴痒，摸着不光滑，有小疙瘩。,其他,12
请问肠炎病人吃有什么比较好？,治疗方法,5
我妹今天去医院做了心电图，检查出窦性心动过缓，在高中时候我们学过电生理，我想问一下窦性心动过缓和传导阻滞有关吗？,相关病症,4
吃氯氮平6年每天晚上1片平时运动量大干重活大脑就不清醒眼睛睁也不开就得休息一会才好一点一星期前已经把药停掉现在的情况和以前一样请问我的问题在哪里该咋办,治疗方法,5
宝宝拉肚子的治疗办法,治疗方法,5
妈妈在孕晚期会不会夜里三点醒，睡不着觉啊，有妈妈知道这样怎么办啊。,治疗方法,5
做了内痔手术后一段时间注意饮食，康复之后可以吃辛辣喝酒了吗？有复发的可能吗？,其他,12
间质性肺炎怎么治疗?,治疗方法,5
我的阴茎短小怎么治,其他,12
你好，我想大概问一下啊请问贵处有卵磷脂络合碘片吗？,其他,12
最近肚子右侧按下去痛用力吸气痛胀气痛,相关病症,4
男士，有时小便刺痛，小便后滴几滴血色，怎么会这样啊,病因,1
复方羊角片是不是可以用于治疗偏头痛的呢？有禁忌吗？要吃多久才能有效果呢？,其他,12
请问是高血压引起的中风，导致右半身偏瘫，可以吃中风回春丸吗？自己对药物不清楚，想询问下医生！,禁忌,9
慢性阻塞性肺病是什么原因引起的,病因,1
患有内痔3年，有时大便过于用力会滴血，大便完纸擦用力也有出血，确诊内痔有裂缝滴血，应如何治疗？,治疗方法,5
睡觉时间多少小时合适14岁,其他,12
心绞痛时心率快吗,临床表现(病症表现),3
半夜牙疼睡不着怎办啊呢？现在还在孕晚期呢，什么的牙痛药都不能吃，好难受。,治疗方法,5
尿失禁人群有哪些？,其他,12
胃癌在患病前会发出哪些信号,相关病症,4
昆明最好的癫痫病医院是哪家？最近我的室友坐在座位上好不安定的，总归要一动一动的额企鹅有时候看他的嘴角出现了歪斜的问题后来才知道他是得了癫痫，这个病我们不是很了解来这里问问这个病是什么啊？癫痫是什么疾病？,其他,12
脚趾缝里长出了一截瘤子走路疼顶的半个趾甲都没有了,临床表现(病症表现),3
我是一名糖尿病患者，最近我有点气短心悸，是由气血不足引起的，经常会有点无力，能不能使用益气养血口服液呢？,治疗方法,5
医生您好！我父亲现在心衰极其痛苦，请问怎样帮他缓解呼吸困难?,治疗方法,5
先天性心脏病宝宝感冒了能打吊针吗？,治疗方法,5
脑萎缩是怎么回事？,病因,1
阿立哌唑片是医保药吗？可以使用医保卡报销吗？谢谢。,其他,12
糖尿病，得了类天疱疮，请问有啥好的治疗方法？谢谢,治疗方法,5
请问白带多亮晶晶的粘粘的是怎么回事？,临床表现(病症表现),3
老公最近上班回来说自己白天时候右胸疼，一疼起来就能疼半天，工作都受影响，是不是肺功能出现了什么问题，请问，右胸痛是什么原因？,病因,1
明天体育考试，能喝葡萄糖补充吗,治疗方法,5
请问什么情况下需要做子宫全切手术？,其他,12
"眼晴红又痛反反复复应该怎么办，可以选用什么药呢,希望医生为我解答问题",治疗方法,5
病变？是不是需要经一部治疗？,其他,12
请问甲状腺瘤术后三个月又复发了，现有一公分大还需要手术吗？,其他,12
请问阴道这几天都很痒是怎么回事？该怎么办呢？,其他,12
母亲便秘，大便痛，便血，做韩国电子肛肠镜有什么缺点？,其他,12
请问直肠癌三年，最近大便次数增加大便成块状是何原因,病因,1
小孩大便困难,治疗方法,5
我的是珍珠粉呛到肺了现在有胸口隐隐作痛,病因,1
"患有内痔七八年，干活多了或上火了就较严重,肛门内边会出现有大豆大的疙瘩,劳累后就会痛,有什么偏方可根除？",治疗方法,5
这几天我的身上长了很多疙瘩，摸起来还有点硬，而且疙瘩上很湿润还有臭味，有增多增大的现象，去看医生说是尖锐湿疣，经过药物治疗现在好了很多，想知道平时应该怎么预防尖锐湿疣。尖锐湿疣都有什么症状啊？吃什么好？,其他,12
你好！我想咨询一下，肾结石服什么药效果最好啊？,治疗方法,5
右肺中叶结节影，炎性结节可能，请问需要打针吃药吗a,治疗方法,5
孕中期和晚期怎样睡好觉呢？我最近都有点失眠，常常睡觉到半夜就醒来了。,治疗方法,5
白细胞十卵磷脂十十十十，还要吃药吃吗吃的中草药会不会复发了,治疗方法,5
高压97低压60正常吗,治疗方法,5
孩子11个月大了，生下来就有，越张越大，而且缺皮，可以通过什么方法治疗呢，内蒙古婴儿肚子红色胎记都是血管瘤吗？,治疗方法,5
宫颈癌晚期，能帮我看看能不能手术吗,治疗方法,5
请问霉菌阴道炎和宫颈糜烂有什么关系？,其他,12
请问依替膦酸二钠片效果怎么样呢？多长时间能起作用呢？,其他,12
背部长有斑块，右侧85％，诊断是血管瘤，您那可以手术治疗吗？内蒙古婴儿背部血管瘤怎么治能好？,治疗方法,5
请问小孩长期咳嗽用吸的药是用沙美特罗替卡松气雾剂还是丙酸氟替卡松吸入气雾剂,其他,12
如果，我是说如果患了尖锐湿疣，肛门上长了东西，那阴茎上是不是也同时长了出来了呀？,相关病症,4
咳嗽变异性哮喘可以治愈吗,治愈率,8
"婴儿头部小面积发黑，疑似血管瘤,如果确诊是海绵状的血管瘤，内蒙古婴儿头部海绵状的血管瘤能治好不？",治疗方法,5
我的下面这几天长了些红色的疙瘩，疙瘩上面比较湿润而且有臭味，平时也不觉得痒，可是越长越多了，检查后医生说是尖锐湿疣，现在在吃药长了不见好，想了解下尖锐湿疣的饮食要注意什么？,相关病症,4
之前听朋友说吃抗精神类药物可能会导致失眠？请问吃阿立哌唑片会引起失眠吗？,其他,12
"一闻到刺激性的气味或者去粉尘比较多的地方就喘不上来气,有时做剧烈运动也不行,喘气困难。医生说是得了哮喘病,建议住院进行治疗。;过敏性哮喘的治疗方法有哪一些?",治疗方法,5
心包摩擦音是怎么回事？,定义,0
医生，我为什么晚上躺在床上吐气会感觉要咳嗽,病因,1
我同事小刘两个月体检时查出二尖瓣关闭不全，昨天又有个同事也是这个病，就觉得很好奇，所以想问，二尖瓣关闭不全会传染吗？,传染性,7
肛瘘手术后大便便不出来怎么办?,治疗方法,5
l六岁女孩肚子疼怎么办,治疗方法,5
慢阻肺是什么病，该怎么治疗？,其他,12
脑性瘫痪综合征是什么病？,定义,0
强迫症过度联系怎么办,治疗方法,5
就是有的时候会来一些，白色的液体，相月经一样特别长,治疗方法,5
请问胎儿肾盂扩张了怎么办？,临床表现(病症表现),3
我胸骨右边点痛了大半年了，照片说是支气管炎吃药也不见好怎么回事，,治疗方法,5
病情描述：患病二年脑梗塞后右侧不好用你想解决什么问题：吃了好多溶栓药都不好使，问吃什么溶栓药，头才不痛，右侧能好用,临床表现(病症表现),3
"孕吐,喝水都吐,有时候都吐血,",病因,1
孕晚期每天都睡不着觉，失眠好严重的，怎么办好呢？有缓解的办法吗？,治疗方法,5
长期小便黄，小完便后有时就会尿刺痛，这是什么情况？,临床表现(病症表现),3
肛门外长了小肉球，没有不适感，便后轻微出血，只吃药，不手术，能治好吗？,治愈率,8
宝宝好长时间肛门红了一片不见好怎么办,治疗方法,5
常常感觉到头痛啊想知道要怎么治疗买这个要吃可以吗,治疗方法,5
可以用什么来治疗心前区疼痛、病毒性心肌炎，都有些什么禁忌呢？,其他,12
我孩子的血管瘤，现在出生21天了、已经有10天的样子、也没有淡化！！宝宝用艾草洗澡不会有任何副作用吧，胸前长了血管瘤，内蒙古婴幼胸前长的血管瘤危害大不？,相关病症,4
请问糜烂性胃炎加上食管炎、幽..,其他,12
10几年，真的比较难受，浑身不舒服，可以咋办？，口干舌燥,治疗方法,5
医生你好！怀孕的时候能够吃钙尔奇碳酸钙d3片?已经怀孕三个月了…,禁忌,9
这几天老失眠,治疗方法,5
先天性肌病怎么办,治疗方法,5
宝宝大便次数太多是怎么回事?,病因,1
每隔一段时间就会失眠是怎么回事呢？怀孕7个月多了，经常会失眠的情况发生，很难受。,临床表现(病症表现),3
男，52岁，脑血栓，在服用华法林钠片，想咨询一下服用华法林钠片饮食上需要注意些什么？,禁忌,9
怎么是血精？,病因,1
15个宝宝大便有冻冻,临床表现(病症表现),3
痔疮怎么治?,治疗方法,5
您好，医生，我想咨询一下尿道炎快好了，可以光吃罗红霉素么,禁忌,9
检查血管细6个，脉博60-65血压85--65,定义,0
大家都知道，很多的癫痫患者由于在日常生活中饮食方面的不注意导致了癫痫的复发。对于癫痫患者而言，饮食结构的合体不但能够增强自身的身体素质，还可以有效降低抗癫痫病药物的毒副作用。所以说，癫痫患者的日常预防工作很重要。,其他,12
最近不知道为什么，老是尿频，请问是怎么回事啊,临床表现(病症表现),3
五个月宝宝拉肚子怎么办啊,治疗方法,5
最近总是咳嗽，都有两个多月了，而且越来越严重，怀疑是慢性支气管炎，问一下慢性支气管炎有哪些症状？,临床表现(病症表现),3
您好，申医生！我是慢性尿路感染者，治疗有两个多月了，可今天有了这以来的第一次性生活，而且没有采取措施，月经是每月30来，请问医生我这种情况怀孕的几率高吗,其他,12
心胸汗出有哪些表现和诊断？,临床表现(病症表现),3
晚上睡觉睡一会就醒了，而且睡的时间都很短，这样算失眠吗？吃什么能治失眠了吗？,其他,12
5周前有过高危行为，请问医生龟头下端的白色点点是尖锐湿疣吗？,定义,0
医生您好，我最近尿道口有灼热感，该怎么办，吃什么药好呢,其他,12
心绞痛会疼一天吗,临床表现(病症表现),3
四川癫痫病医院在线医生?儿子从小患有癫痫病，现在正在吃药。脑电图、心电图都做过，每天也按时吃药，控制的还是挺好的，都长大了，到现在还是没有完全根治，根治癫痫的具体方法是什么？请问癫痫能治愈吗？,其他,12
预防痔为什么要及时治疗气管炎、肺气肿等疾病?,相关病症,4
什么药枕治高血压最好？,治疗方法,5
焦虑症能剖腹产吗,治疗方法,5
昨天上厕所的时候擦屁股发现特别疼，然后我擦完了以后就拿纸摸了一下，之后就感觉自己肛门边上那里裂开了，口子不是特别大，但是现在上完厕所都不敢使劲擦屁股，一擦完就觉得屁股特别疼，我现在应该怎么办？,治疗方法,5
你好，治疗抑郁症，请问，百适可草酸艾司西酞普兰片可长期吃吗？,禁忌,9
慢阻肺能治愈吗？,治愈率,8
请问月经推迟七八天没来小腹疼痛啥情况？,病因,1
肺性脑病病因是什么,病因,1
今年发现孩子肚脐下面有血管瘤，在生长，是否需要治疗，挂哪个科的号，内蒙古婴儿肚脐下面血管瘤在哪治好？,其他,12
开放性颅脑损伤易发人群有哪些,其他,12
"患有内痔，大便正常，经常疼痛,应如何治疗？",治疗方法,5
霉菌性阴道炎，白带糊状,临床表现(病症表现),3
预防肝癌怎么做检查,预防,2
就是脚底长的不知道什么东西，有时会剧烈疼痛。,病因,1
做完痔疮手术3年了，发现肛门疙瘩硬块。是不是痔疮再发啊。需要再做一次吗,治疗方法,5
孕晚期我晚上睡觉总是睡不着怎么办？预产期马上来临了，很期盼孩子的降临。有办法很快入睡吗？,治疗方法,5
儿童失神性癫痫是儿童期起病的一种最多见的癫痫病病症，主要表现为突发性精神活动中断，失去意识、可伴肌阵挛或自动症。一次发作几秒钟至十余秒。儿童失神癫痫是特发性、全身性癫痫的一种，是多基因的遗传性顽固疾病。,定义,0
宝宝两个月便秘,临床表现(病症表现),3
为什么生气时会手抖心慌？,临床表现(病症表现),3
哮喘需要住院吗？,化验/体检方案,11
小孩肛门瘙痒怎么办？,治疗方法,5
有长时间吃维生素C的泡腾片，之后停药没吃了之后就有头痛还有些呕吐的症状，应该要怎么办,治疗方法,5
我去年12月发现尖锐湿疣的，在医院用激光治疗三次了，这次感觉又复发了。,临床表现(病症表现),3
每晚都没有睡意失眠是什么原因？进入孕晚期，每天晚上都失眠，到两三点才有睡意，怎么办？,其他,12
没有病史，这是第一次，医生说长了湿疣，在阴道上也长了，这样的情况下怎么治疗？,治疗方法,5
"婴儿的血管瘤怎么治疗最好呢？,孩子长在脚上的血管瘤有4个多月了，内蒙古婴儿得了血管瘤了较好了治疗时间？",治疗时间,10
咳嗽变异性哮喘能根治吗,治愈率,8
心包缩窄是什么病？,定义,0
脑疝需要手术吗,治疗方法,5
请问焦虑症能吃心神宁片吗？吃起来效果好不好？,其他,12
帕金森会心悸吗,定义,0
我帮我叔叔买海捷亚，因为他有高血压，一直在吃这个药，药店能不能买的到呢？,其他,12
在很久以前就查出患上了尖锐湿疣，可是试过很多方法总是无法治愈，感觉这种病已经治不好了，请问，尖锐湿疣的治疗方法是什么呢？曾经的治疗情况：治过想得到什么帮助：尖锐湿疣的治疗方法是什么,治疗方法,5
资阳癫痫病医院有哪些？我弟弟常常突然丧失意识、摔倒在地、四肢抽搐、口吐涎沫，到现在已经3个多月了，吃了很多药都不见好转．到医院检查知道是癫痫病了，想知道癫痫病的症状和治疗方法有哪些？以及我们需要如何护理。癫痫疾病的临床表现,其他,12
因为牙龈肿我连续吃了3天的薄膜衣片牛黄解毒片第5天去验了饭后2小时的血糖7午饭是牛奶加鸡蛋饼三星期前空腹0,其他,12
最近不知道是怎么回事老是腰痛。以前有肾结石的现象。但也从来没有这种情况啊！就想问问是什么情况。,病因,1
阴道和宫颈都得了湿疣，激光后一个多星期可以用克痒舒洗液来洗外阴吗,治疗方法,5
尿频。是怀孕的症状吗？,其他,12
成都治疗便秘医院，严重便秘怎么办?,治疗方法,5
孕妇便秘该吃什么,治疗方法,5
请问阴道内壁长粉瘤怎么办？,治疗方法,5
我是有阳萎，刚才吃了一颗丽科吉，现在感觉心跳很快，大汗淋漓的属于正常的现象吗？,临床表现(病症表现),3
最近老感觉气短，老想长出气，吃东西感觉咽不下去，在嗓子里堆着呢，是怎么回事啊？需要怎么治疗？,其他,12
3个月发现的血管瘤，长在孩子的虎口上，一直观察最近大了几毫米吗，内蒙古婴儿虎口长血管瘤怎么治好？,治疗方法,5
妊娠合并重症肌无力是什么病,定义,0
手术治结肠息肉可以根治吗？复发的几率高吗,其他,12
成都治疗便秘肛肠医院排名每天喝了很多水为什么还便秘？,治疗方法,5
奶奶被检查出了快室率心房颤动，医生说这个病太难控制了，奶奶时刻都有危险，请问如何控制快室率心房颤动？,治疗方法,5
窦性心动过速是心脏病吗,临床表现(病症表现),3
治疗精神分裂症可以同时服用利培酮和丁螺环酮片吗,治疗方法,5
今年都25岁了，以前留下的青春痘疤痕现在还在，好难看,临床表现(病症表现),3
便秘怎么办？急急急……,治疗方法,5
真心求问！谢谢！四个月前感染尖锐湿疣治疗过程中割了包皮！现在已治愈！和老婆有过三次性爱！前两次没事！第三次刀口处有水肿！不痛不痒！请问是什么情况？,临床表现(病症表现),3
利福平胶囊的注意事项,禁忌,9
请问月经向后推迟了１０天会不会影响以后生育？,其他,12
老父亲70多岁了，有高血压，每天再吃降压药。想买一颗安宫牛黄丸给他吃，是否可以提前吃预防中风？有什么需要注意的呢？在饮食和作息方面的,其他,12
胸膜炎复发的概率有多大？复发了还能治吗？,其他,12
心脏病患者可以服用盐酸胺碘酮片吗，对病会有疗效吧？,其他,12
你好医生怀孕了严重感冒怎么办,治疗方法,5
孩子出生后有心脏病的几率有多大,其他,12
心绞痛一定是冠心病吗,定义,0
11岁小孩拉大便出血后，屁股还有点疼，是怎么回事？,病因,1
我想请问一下，性生活后第二天出现了尿频尿急尿时坠痛尿,临床表现(病症表现),3
"孩子尿床2-3次、基本便干2天一解（有臭味）、脊椎裂、上半身及头部爱出汗、小便清长（尿量多）、智力稍差、反复（时续）要咳且轻微吐、有点易感冒、睡姿喜欢趴着睡或侧睡，小孩晚上基本上是2-3次尿床偶尔（只是下雨天）有4次尿床的习惯,尿清而长（洒出来的尿量多）。睡眠作息习惯准时（一般晚上21：00睡，早上6：30起床），晚上中途不叫不会自己醒来洒尿，睡的有一点点沉，睡姿喜欢趴着睡或侧睡。该怎么办啊？哈尔滨遗尿症治疗医院",其他,12
您好，有种消炎止咳片的盒子是红色的,其他,12
女性尿路感染多久会好,治疗时间,10
腰椎间盘突出能治疗吗,治疗方法,5
我得了湿疣，不多在阴道壁上，就俩处，激光完了又复发了咋办？,临床表现(病症表现),3
我有糖尿病可不可以吃吃滋肾丸，平时要注意什么。,禁忌,9
早博吃稳心颗粒不怎么好，请问应该配加点什么药好,治疗方法,5
痔疮能顺产吗？,其他,12
孕晚期我晚上睡觉总是睡不着怎么办？预产期马上来临了，很期盼孩子的降临。有办法很快入睡吗？,治疗方法,5
我得了肛管直肠炎，该如何治疗？,治疗方法,5
女性膀胱炎咋办,治疗方法,5
没有病史，这是第一次，医生说长了湿疣，在阴道上也长了，这样的情况下怎么治疗？,治疗方法,5
癔症性眩晕步态是什么病？,定义,0
我老公从昨天到现在一直打嗝请问医生有什么办法可以快速治疗,治疗方法,5
您好，请问有什么好的建议吗？？要怎么服用好呢,其他,12
发生这种情况好几天了，耳鸣老是不好，有什么药可以吃？,治疗方法,5
小孩咳嗽反反复复，这两天又严重些，晚上睡觉不咳，白天咳得很厉害,治疗方法,5
四岁小孩一动就满头大汗，四岁女童，无论什么天气，一动就是满头大汗！易感冒！咳嗽，喘！,临床表现(病症表现),3
一共跟他做过二三次一直没有落红。就是我前天跟男朋友做来，然后都好的没有落红但是昨天晚上我一个睡里突然出了点血，颜色不太重那是怎么了？,其他,12
想问下我现在改怎么调节一下啊？还能继续吃安乃近吗？,治疗方法,5
孕妇有痔疮能顺产吗,其他,12
请问老人小便不通是怎么回事有没有急救的办法,治疗方法,5
成都肛肠医院治疗肠炎好不好?,其他,12
胆固醇脓胸是什么病,定义,0
来月经的时候肚子疼,病因,1
阴道流水，天天换内裤，不痒,临床表现(病症表现),3
儿子患了直肠脱垂，没有血，内服外敷五倍子没效，越来越严重，5厘米伴血，肛门有水外漏，如何治疗？,治疗方法,5
病毒性心肌炎的小儿生活上要注意什么？,禁忌,9
"我家孩子现在40天了,阴囊有时下垂,有时又收起,下垂时几乎盖住肛门.不知道是什么原因?这正常吗,如果不正常,怎么恢复?怎么恢复?",其他,12
胸不舒服，气不顺。爱长出气，心烦，打嗝，,临床表现(病症表现),3
我得了湿疣，不多在阴道壁上，就俩处，激光完了又复发了咋办？,其他,12
哪些是变异性哮喘的症状呢,临床表现(病症表现),3
大便带血，肚子痛，一天拉好几回，都有血，便血是由于什么造成的？,病因,1
一个月前，偶有胸闷，深吸气气管有哮鸣音，10天前经常胸闷，深吸气气管有哮鸣音口服阿莫西林，甘草片，稍减轻，3天前加服氨茶碱片后胸闷减轻，气管哮鸣音消失，2天前出现左肩胛骨旁疼痛，胸闷，出汗，气管深吸气有哮鸣音（近2个月平均一天1.5盒烟，饮酒较多，体态偏胖）检查：血压120/95；肺部听诊有哮鸣音请问是高血压引起的心脏疾病？还是支气管炎引起的心脏疾病？确定疾病还需要做什么检查？,其他,12
请问用水洗手上少量精液后摸阴道内会怀孕吗？,其他,12
体检尿常规检查出尿潜血弱阳性（微量）是什么病？严重不严重？要怎么治疗？,其他,12
如何治疗弥漫性轴索损伤,化验/体检方案,11
小便带血是怎么回事？,临床表现(病症表现),3
打耳洞了，现在有点痒，能不能擦碘伏,其他,12
胸部创伤是什么病,定义,0
2个月宝宝爱手舞足蹈正常吗？有点担心宝宝又不是有多动症，求科普。,临床表现(病症表现),3
不定时发生，胸口中间噎着的感觉，不疼也不呼吸困难，症状持续三四年左右,相关病症,4
现在我身上有一块白斑，去医院检查说这个是白癜风，怎么治疗才好呢？,治疗方法,5
家里老辈的有得了糖尿病肾病的，我也有糖尿病不知道后期会不会成为糖尿病肾病？想知道糖尿病肾病和遗传有关吗?,相关病症,4
间质性肺炎还能治好吗？,治愈率,8
老年人胆囊炎胸腔积水青霉素过敏头孢过敏怎么办？,禁忌,9
小便时感觉疼痛有点尿不尽的感觉前几天有过性行为,临床表现(病症表现),3
自从上次和男朋友同房后就感觉不对劲，发现肛周及臀部有小红点，又痛又痒，看医生才知道得了生殖器疱疹。想了解生殖器疱疹是怎么得的？,其他,12
神经官能症吃养血安神片，谷维素b1有用吗？该服多久？,其他,12
肛裂患者怎么做爱,其他,12
5周前有过高危行为，请问医生龟头下端的白色点点是尖锐湿疣吗？,临床表现(病症表现),3
宝宝6个月拉肚子急,临床表现(病症表现),3
多年的外痔怎么能根治？,治疗方法,5
肺性脑病怎么办,治疗方法,5
咨询一下，磷酸苯丙哌林口服溶液糖尿病人可以吃吗？我这几天感冒咳嗽，有什么药糖尿病患者吃了不会有不良作用的吗？,其他,12
怎么会有这样的现象呢，尿频，尿痛，腰酸，胀痛这种情况怎么去解决？,其他,12
肺部肿瘤就是肺癌吗什么是肺部肿瘤,定义,0
宝宝晚上睡觉突然发抖正常吗？大家的宝宝有没有这个现象啊，都是怎么缓解的啊,临床表现(病症表现),3
想问问早中期的胃癌能施行微创吗,治疗方法,5
先天性肺囊肿是什么病,定义,0
怎样早期发现小肝癌,预防,2
心肌梗塞并发心室间隔穿破是什么病,定义,0
昨天发现小阴唇内侧有一个白色的粉刺一样的。扣掉之后是个小坑。也不疼。平常也会有痒的感觉但是不怎么频繁。请问是尖锐湿疣吗？,临床表现(病症表现),3
"突感肛门不适，发现有东西掉出肛门约5mm,无血，无痛，有时肛门右侧有点胀，用药为海力化痔片，六味消痔胶囊，痔速宁片，但都为单一用药，感觉化痔片用后效果好点，应用什么药？",治疗方法,5
感觉心跳有时比较快，还有疼痛感不过不严重用手拍打会减轻，而且感觉是在上半部分,病因,1
严重失眠,临床表现(病症表现),3
妊娠合并重症肌无力怎么办,治疗方法,5
肺纤维化吃什么食物好,禁忌,9
小儿癫痫发作诱发失语综合征怎么诊断,临床表现(病症表现),3
基底动脉血流速度峰值增高脑血管弹性减退都有哪些症状如何能够改善？,预防,2
我才发现自己得了尖锐湿疣，现在都两个多月了，不疼不痒，也没有作风问题，我是怎样得的？应该怎么治疗？,其他,12
女，我最近老是想上厕所上完还很疼还带血丝？,临床表现(病症表现),3
强迫症为什么打人,临床表现(病症表现),3
去医院拍片看了，医生说右髌骨轻微骨折，没打石膏多久可以愈合，平时要注意些什么？,禁忌,9
怎样判断什么是稳定性心绞痛和不稳定性心绞痛,其他,12
你好老师，之前同房后会有点小腹不舒服，然后就去拿的妇炎康胶囊，吃了两天下面有点褐色分泌物,病因,1
